badge,badge_type,brief,count,cv,follow,index_show,is_finish,media_id,play,pub_date,pub_real_time,renewal_time,score,season_id,staff,tags,title
,,银河（Ginga）是一个单纯的，但精力充沛的乡村女孩，和父亲一起住在远离帝国首都的地方。当她得知她有机会成为年轻新皇帝的一个妾，并有可能成为他的正妻能管理皇帝其他所有的妻子时，银河就下了决心，说服她的,1,"""双槐树：\n银河：佐野量子""",4166追番,全1话,1,5949,1.9万次播放,637948800,637948800,1489979054,,5949,"""脚本：宮崎晃\n导演：鳥海永行\n人物设定：近藤勝也\n摄影监督：小山信夫\n原画：大塚伸治、二木真希子、磯光雄\n原作：酒見賢一\n作画监督：近藤勝也\n""",,如风似云
,,"《樱花大战》系列1997年推出的第五部OVA，舞台转换到了新时代的纽约。共6章，内容分别为：
1、我和我的女孩，2、X…and The City，3、在星光闪耀之夜，4、母亲，我想唱歌！5、禁断的乐园",0,"""ジェミニ·サンライズ：小林沙苗\nサジータ·ワインバーグ：皆川純子\nリカリッタ·アリエス：齋藤彩夏\nダイアナ·カプリス：松谷彼哉\nマイケル·サニーサイド：内田直哉\nプラム·スパニエル：麻生かほ里\n九..""",4176追番,全6话,1,3410,41.5万次播放,1175616000,1175616000,1457498806,,3410,"""企划：広井王子\n监督：木村隆一\n系列构成：あかほりさとる\n角色原案：藤島康介\n角色设计：松原秀典\nOVA人物设定·总作画监督：北島信幸\n美术监督：杉本あゆみ\n音乐：田中公平\n音响监督：百瀬慶一\n编集：右山章太\nCG制作：GONZO\nCG制作协力：N-DESIGN\n动画制作：AIC""", 热血 机战 科幻 时泪,樱花大战 OVA5 纽约
,,【本字幕由极影字幕组协力译制】北海道的当地拟人角色“Francesca”的TV动画化作品。弗兰西斯卡动画将从14年7月开始在北海道文化放送播出！这也是日本首个以当地角色为题材的TV动画！,0,"""法兰雀丝卡：牧野由依\n驱魔师：田野麻美\n克拉克博士：浦山迅\n岛田魁：宫本克哉\n市村铁之助：内藤有海""",4136追番,全24话,1,12952739,7.3万次播放,1404576000,1404576000,1548733623,,26532,"""脚本:加藤還一、森江美咲、竹内利光\n导演:矢野雄一郎、熊谷仁志\n原作:熊谷仁志\n分镜:矢野雄一郎、富泽信雄、小山田桂子\n""", 原创 泡面 搞笑,法兰雀丝卡
,,200X年，会动的玩偶突然从宇宙来到日本。不知道为什么，他们攻击的目标都是日本各处有名的景点。防卫队为了保护日本而进行战斗，却受到为什么要向这么可爱的玩偶攻击的舆论责难，进退两难。这时候，有人提出要对,0,"""鬼瓦真绪：こやまきみこ\n筑岛美空：吉川由弥\n丸山席维亚：堀江由衣\n三岛篱：長沢美樹\n宙ゆり子：满仲由纪子\n宇ちなみ：井浦爱\n鬼瓦陆士郎：野岛昭生\n筑岛空次郎：铃木清信\nアーダベルト·フォン：丸山 ..""",4177追番,全26话,1,2024,1.5万次播放,1025625600,1025625600,1390539120,,2024,"""脚本：黒田洋介\n导演：岩崎良明\n人物设定：柳沢まさひで\n原作：赤松健\n系列构成：黒田洋介\n演出：鈴木吉男\n分镜：鈴木吉男、ムトウユージ\n音乐：服部隆之\n""", 萌系 搞笑,正义小天使真绪
,,机动纪元8013年 在人类灭绝的地球上剩下的大量军用机器人进行着无休无止的战争....(本动画是通过不添麻烦的谨慎进行的调查而让人愉快欣赏机器人可爱之处的节目),0,"""""",4156追番,全12话,1,642,16万次播放,1360080000,1360080000,1367153291,,642,"""""", 搞笑 科幻,直白标题机器人动画
,,随「不可思议的教室」DVDBOX发售新增的新作OVA。,0,"""蕾贝卡·宫本：斎藤千和\n一条：野中藍\n片桐姫子：折笠富美子\n桃濑久留美：植田佳奈\n鈴木沙也加：阪田佳代\n橘玲：雪野五月\n上原都：堀江由衣""",4220追番,全1话,1,3816,3.2万次播放,1239724800,1239724800,1461135429,,3816,"""原作：氷川へきる\n监督：新房昭之\n脚本：高山カツヒコ\n分镜：大田和寛\n演出：大田和寛\n作画监督：大田和寛\n原画：阿部厳一朗\n音乐：羽岡佳\n音响监督：亀山俊樹\n动画制作：ガンジス、SHAFT""", 搞笑 校园 日常,不可思议的教室 OVA
,,自称宇宙第一天才科学家的达撒恩博士将来自宇宙不同星球的四名青年米娅、罗尔、帕依和兰巴改造成为了拥有超能力的最强战士，并准备将他们卖给宇宙海盗邦卡集团。然而四人中的米娅·艾莉斯却恢复了失去记忆，受她的影,0,"""""",4263追番,全3话,1,5694,6.1万次播放,559756800,559756800,1478487762,,5694,"""脚本：會川昇\n导演：平野俊貴\n原作：平野俊貴\n演出：西森章\n分镜：西森章、大張正己、平野俊貴、大畑晃一\n音乐：渡辺宙明\n""", 机战,破邪大星弹劾凰
,,《科学小飞侠》这部动画的原作是吉田龙夫（漫画家出身，后来投入动画制作而成立龙之子制作，已故），由鸟海尽三与陶山智负责企划。本片当初是以与巨大机械战斗的低年龄向动作片为起点，但在导入公害、科学、战争等现,0,"""""",4393追番,全105话,1,6246,9.8万次播放,86716800,86716800,1496289949,,6246,"""制作：吉田健二\n企划：吉田健二、鸟海尽三\n原作：吉田龙夫\n人物设定：九里一平、天野嘉孝（现??喜孝）、高田明美\n美术设定：中村光毅\n机械设定：大河原邦男\n作画监修：宫本贞雄\n片头作画：须田正己\n剧本统筹：陶山智\n制作：タツノコプロ、フジテレビ""", 热血 科幻,科学小飞侠（1972）
,,"2014年4月动画《苍蓝钢铁的琶音》重播时一起播出的1分钟CM短片，并在播出后在YouTube官方发布。（第13话只在YouTube发布而并未在电视台播出）
本片讲述了本篇中的“心智模型”全部变身「ヨ",0,"""榛名：山村响\n雾岛：内山夕实""",4286追番,全13话,1,4224,19.3万次播放,1396627200,1396627200,1464674329,,4224,"""导演： 岸誠二\n脚本： 森田繁、中村浩二郎、日暮茶坊\n音乐： 甲田雅人\n系列构成： 上江洲誠\n动画制作： サンジゲン\n播放电视台： TOKYO MX、サンテレビ\n演出： 鈴木大介\n放送结束： 2014年06月28日\n官方网站： http：\u002F\u002Fwww.aokihagane.com\u002F""", 萌系,雾熊s
,,"《樱花大战》系列2003年推出的第三部OVA，共3章，内容分别为：
1、拂晓之花，2、黒猫与恶女，3、恋爱都市",0,"""艾莉卡·方婷：日高のり子\n库莉希奴·布鲁梅尔：島津冴子\n寇库莉可：小桜エツ子\n罗贝莉娅·卡尔莉妮：井上喜久子\n北大路花火：鷹森淑乃\n大神一郎：陶山章央\n古兰·玛：相沢恵子\n梅尔·雷森：小島幸子\n茜..""",4360追番,全3话,1,3408,41.5万次播放,1048003200,1048003200,1457496624,,3408,"""总监督：広井王子\n系列构成：川崎ヒロユキ\n系列监修：あかほりさとる\n演出：まついひとゆき\n角色原案：藤島康介\n角色设计：松原秀典\nOVA人物设定·总作画监督：田中誠輝\n美术监督：窪田忠雄\n音乐：田中公平\n音响监督：百瀬慶一\n编集：岡田輝満\nCG制作协力：オーバーワークス\n动画制作：ラディクス""", 热血 机战 科幻 时泪,樱花大战 OVA3 燃烧的巴黎
